epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.03434,1.93919,3.86462,1.94822,0.02652,0.60861,0.06859,0.03055,1.5572,3.9721,1.68378,0.000325,0.000325,0.000325
2,5.56206,1.55502,3.44083,1.67399,0.03138,0.92857,0.13824,0.08484,1.2511,3.77196,1.35765,0.000655941,0.000655941,0.000655941
3,7.10928,1.53586,2.93744,1.58462,0.03035,0.96429,0.21107,0.13759,1.14208,3.17222,1.29975,0.0009802,0.0009802,0.0009802
4,8.66847,1.52751,2.58304,1.60759,0.40749,0.59864,0.31513,0.23318,1.04423,2.29068,1.34937,0.00121287,0.00121287,0.00121287
5,10.2683,1.48198,2.27215,1.56303,0.31477,0.73571,0.46906,0.34147,1.05686,1.92343,1.31182,0.0012005,0.0012005,0.0012005
6,11.9002,1.48677,2.12463,1.54031,0.64455,0.47567,0.61483,0.43843,1.08074,1.75507,1.31332,0.00118812,0.00118812,0.00118812
7,13.6121,1.45686,1.96436,1.49201,0.55319,0.74234,0.75635,0.53192,1.05621,1.59648,1.33998,0.00117575,0.00117575,0.00117575
8,15.3096,1.3755,1.73089,1.52735,0.71345,0.73241,0.80486,0.58191,0.97478,1.45704,1.31267,0.00116337,0.00116337,0.00116337
9,16.9736,1.39406,1.66639,1.48684,0.68015,0.73866,0.79314,0.60064,0.89109,1.35479,1.27934,0.001151,0.001151,0.001151
10,18.6398,1.40317,1.57981,1.5267,0.61693,0.87482,0.80868,0.6103,0.87124,1.32295,1.28737,0.00113863,0.00113863,0.00113863
11,20.2876,1.34636,1.47806,1.48556,0.69571,0.91971,0.84818,0.6616,0.83999,1.21776,1.29401,0.00112625,0.00112625,0.00112625
12,21.9238,1.33529,1.40129,1.50479,0.747,0.94643,0.85202,0.6796,0.81874,1.16565,1.27352,0.00111388,0.00111388,0.00111388
13,23.5352,1.31794,1.31072,1.46832,0.77991,0.98214,0.88633,0.71829,0.79594,1.06096,1.2399,0.0011015,0.0011015,0.0011015
14,25.1389,1.30431,1.29855,1.47376,0.76556,0.98929,0.8708,0.70088,0.75564,1.01698,1.26094,0.00108913,0.00108913,0.00108913
15,26.7392,1.33694,1.25375,1.54331,0.77355,1,0.88159,0.70669,0.75793,0.98577,1.1974,0.00107675,0.00107675,0.00107675
16,28.3336,1.30723,1.20923,1.46294,0.76181,1,0.90454,0.72404,0.78347,0.97349,1.22369,0.00106437,0.00106437,0.00106437
17,29.9299,1.323,1.15447,1.46929,0.78619,0.99818,0.88037,0.70453,0.78864,0.95989,1.21462,0.001052,0.001052,0.001052
18,31.4901,1.25181,1.11364,1.46306,0.77789,0.99208,0.84536,0.70132,0.71983,0.96116,1.22343,0.00103962,0.00103962,0.00103962
19,33.0599,1.27144,1.0782,1.47011,0.80402,0.97445,0.86286,0.68966,0.7339,0.95455,1.25078,0.00102725,0.00102725,0.00102725
20,34.6421,1.31191,1.10697,1.44086,0.80414,0.99911,0.87692,0.69935,0.7641,0.89327,1.21768,0.00101488,0.00101488,0.00101488
21,36.1893,1.25283,1.074,1.47406,0.79426,1,0.85172,0.67861,0.77069,0.91508,1.21312,0.0010025,0.0010025,0.0010025
22,37.7594,1.26382,1.06492,1.45576,0.78694,0.96861,0.85501,0.68605,0.75708,0.91116,1.25686,0.000990125,0.000990125,0.000990125
23,39.3317,1.23517,1.03252,1.44179,0.7763,0.99419,0.8341,0.66913,0.74651,0.90407,1.22957,0.00097775,0.00097775,0.00097775
